,company,sector,industry,continent,country,market_value_2015,sales_2015,profits_2015,assets_2015,rank_2015,rank_2020,sales_2020,profits_2020,assets_2020,market_value_2020
0,Commonwealth Bank,Financials,Major Banks,Australia,Australia,114.5,41.5,7.9,699.9,49,#84,$27.3 B,$7 B,$688.8 B,$72.6 B
1,Westpac Banking Group,Financials,Major Banks,Australia,Australia,99.0,38.4,6.8,651.4,60,#127,$26 B,$4.8 B,$611.9 B,$38.4 B
2,ANZ,Financials,Major Banks,Australia,Australia,83.9,34.0,6.2,659.7,75,#164,$23.9 B,$2.9 B,$703.8 B,$31.3 B
3,Wesfarmers,Consumer Staples,Food Retail,Australia,Australia,43.5,58.5,2.3,39.3,205,#515,$19.9 B,$1.4 B,$18.3 B,$28 B
4,Telstra,Telecommunication Services,Telecommunications services,Australia,Australia,58.1,24.7,3.8,35.6,225,#453,$16.6 B,$1.4 B,$32 B,$23.7 B
5,Woolworths,Consumer Staples,Food Retail,Australia,Australia,41.3,58.3,2.3,21.7,284,#415,$43 B,$1.1 B,$25.8 B,$29.5 B
6,AMP,Financials,Investment Services,Australia,Australia,13.5,19.4,0.6,119.2,431,#1036,$15.3 B,$-1.7 B,$103.8 B,$3.2 B
7,Macquarie Group,Financials,Investment Services,Australia,Australia,17.2,10.3,0.9,144.6,432,#319,$11.5 B,$2.2 B,$148 B,$22.8 B
8,Fortescue Metals Group,Materials,Iron & Steel,Australia,Australia,15.3,10.6,3.0,22.9,507,#476,$12.9 B,$5 B,$21.3 B,$24.1 B
9,Suncorp Group,Financials,Diversified Insurance,Australia,Australia,15.2,15.6,0.4,84.2,539,#777,$9.3 B,$712 M,$66.9 B,$7.6 B
10,Woodside Petroleum,Energy,Oil & Gas Operations,Australia,Australia,29.4,6.2,1.7,23.8,579,#1328,$4.9 B,$335 M,$29.4 B,$14 B
11,Insurance Australia Group,Financials,Property & Casualty Insurance,Australia,Australia,11.9,9.0,0.9,23.7,667,#1243,$5.5 B,$598 M,$20.4 B,$8.7 B
12,QBE Insurance Group,Financials,Property & Casualty Insurance,Australia,Australia,14.7,16.1,-0.3,47.3,734,#824,$12.2 B,$567 M,$40.7 B,$8.1 B
13,Origin Energy,Utilities,Electric Utilities,Australia,Australia,14.5,14.0,0.2,27.2,852,#1148,$9.6 B,$705 M,$17.2 B,$6.4 B
14,CSL,Health Care,Biotechs,Australia,Australia,31.1,5.0,1.2,6.2,928,#610,$8.9 B,$2 B,$14.1 B,$92 B
15,Amcor,Materials,Containers & Packaging,Australia,Australia,11.5,11.2,0.5,9.0,1004,#992,$11.1 B,$445 M,$16.8 B,$14.4 B
16,Brambles,Consumer Discretionary,Business & Personal Services,Australia,Australia,13.4,5.6,1.3,7.5,1007,#1738,$4.1 B,$481 M,$7.4 B,$11 B
17,Santos,Energy,Oil & Gas Operations,Australia,Australia,12.1,3.5,0.5,18.4,1111,#1538,$4.1 B,$672 M,$18.2 B,$6.7 B
18,Caltex Australia,Energy,Oil & Gas Operations,Australia,Australia,5.4,23.5,0.5,5.4,1185,#1873,$15.3 B,$266 M,$5.9 B,$4.1 B
19,AGL Energy,Utilities,Electric Utilities,Australia,Australia,7.8,9.2,0.3,12.5,1345,#1346,$9.2 B,$652 M,$10.2 B,$7 B
20,Qantas Airways,Industrials,Airline,Australia,Australia,2.2,14.9,-0.3,17.9,1356,#1331,$12.4 B,$582 M,$14.3 B,$3.7 B
21,Bendigo & Adelaide Bank,Financials,Regional Banks,Australia,Australia,4.3,3.1,0.3,54.0,1482,#1819,$1.9 B,$222 M,$52.5 B,$2.3 B
22,Newcrest Mining,Materials,Diversified Metals & Mining,Australia,Australia,6.9,3.8,-5.8,15.7,1922,#1512,$3.8 B,$559 M,$11.9 B,$13.8 B
23,OMV Group,Energy,Oil & Gas Operations,Europe,Austria,14.8,56.3,1.5,43.8,326,#441,$26.3 B,$1.9 B,$47.7 B,$10.7 B
24,Raiffeisen Bank International,Financials,Major Banks,Europe,Austria,10.1,11.1,0.7,177.4,536,#725,$5.3 B,$8.8 B,$1.3 B,$170.8 B
25,Erste Group Bank,Financials,Major Banks,Europe,Austria,14.4,12.6,0.1,275.4,694,#507,$11.2 B,$1.5 B,$276.7 B,$8.9 B
26,Vienna Insurance Group,Financials,Diversified Insurance,Europe,Austria,6.4,13.3,0.4,55.0,809,#1131,$11.6 B,$371 M,$55.1 B,$2.6 B
27,Voestalpine,Materials,Iron & Steel,Europe,Austria,7.7,14.9,0.6,17.0,841,#1566,$14.8 B,$-13 M,$17.3 B,$3.7 B
28,Uniqa,Financials,Diversified Insurance,Europe,Austria,4.1,8.5,0.4,40.0,1108,#1794,$6.1 B,$276 M,$31.4 B,$2.1 B
29,Verbund,Utilities,Electric Utilities,Europe,Austria,7.2,4.3,0.8,17.6,1151,#1307,$4.4 B,$621 M,$13.3 B,$15.7 B
30,STRABAG,Industrials,Construction Services,Europe,Austria,2.7,16.5,0.2,13.9,1425,#1461,$18 B,$417 M,$13.6 B,$2.9 B
31,Ahli United Bank,Financials,Regional Banks,Asia,Bahrain,4.7,1.3,0.6,32.7,1322,#1244,$2.1 B,$695 M,$40.3 B,$6.1 B
32,Anheuser-Busch InBev,Consumer Staples,Beverages,Europe,Belgium,171.2,43.2,14.5,141.7,64,#56,$52.3 B,$9.1 B,$238.3 B,$89.9 B
33,KBC Group,Financials,Major Banks,Europe,Belgium,26.3,17.2,1.3,338.8,260,#260,$14.9 B,$2.7 B,$326.4 B,$22.5 B
34,Solvay,Materials,Diversified Chemicals,Europe,Belgium,13.4,15.1,0.4,25.4,737,#1186,$12.6 B,$133 M,$23.9 B,$8.1 B
35,Colruyt,Consumer Staples,Food Retail,Europe,Belgium,8.9,11.1,0.5,4.9,1139,#1470,$10.8 B,$417 M,$4.9 B,$8.3 B
